audio_id,audio_path,romanized_transcript,bilingual_transcript,duration,sample_rate,processed_audio_path
audio_1,..\data\raw_audio\audio_1.wav,Mero assignment submit garna time lagxa.,मेरो assignment submit गर्न time लाग्छ।,2.26,16000,..\data\processed_audio\audio_1.wav
audio_10,..\data\raw_audio\audio_10.wav,Ma aba ghar jane sochdai chu.,म अब घर जाने सोच्दै छु।,1.97,16000,..\data\processed_audio\audio_10.wav
audio_100,..\data\raw_audio\audio_100.wav,Tyo function debug garna parxa.,त्यो function debug गर्नुपर्छ।,2.31,16000,..\data\processed_audio\audio_100.wav
audio_101,..\data\raw_audio\audio_101.wav,Maile chai breakfast nagareko.,मैलेचै breakfast नगरेको।,2.26,16000,..\data\processed_audio\audio_101.wav
audio_102,..\data\raw_audio\audio_102.wav,Tyo app update garna parxa.,त्यो app update गर्नुपर्छ।,1.81,16000,..\data\processed_audio\audio_102.wav
audio_103,..\data\raw_audio\audio_103.wav,Let's complete this topic today.,Let's complete this topic today.,2.14,16000,..\data\processed_audio\audio_103.wav
audio_104,..\data\raw_audio\audio_104.wav,Mero internet connection unstable xa.,मेरो internet connection unstable छ।,2.73,16000,..\data\processed_audio\audio_104.wav
audio_105,..\data\raw_audio\audio_105.wav,Please send me the notes after class.,Please send me the notes after class.,2.36,16000,..\data\processed_audio\audio_105.wav
audio_106,..\data\raw_audio\audio_106.wav,Tyo meeting kati baje start hunxa?,त्यो meeting कति बजे start हुन्छ?,2.12,16000,..\data\processed_audio\audio_106.wav
audio_107,..\data\raw_audio\audio_107.wav,Maile chai kal dekhi padna thale.,मैलेचै भोलि देखि पढ्न थाले।,2.45,16000,..\data\processed_audio\audio_107.wav
audio_108,..\data\raw_audio\audio_108.wav,Sir le assignment ko deadline extend garnu bhayo.,Sir ले assignment को deadline extend गर्नुभयो।,2.58,16000,..\data\processed_audio\audio_108.wav
audio_109,..\data\raw_audio\audio_109.wav,Tyo code output expected jasto xaina.,त्यो code output expected जस्तो छैन।,2.59,16000,..\data\processed_audio\audio_109.wav
audio_11,..\data\raw_audio\audio_11.wav,Tyo movie ko trailer dherai ramro xa.,त्यो movie को trailer धेरै राम्रो छ।,2.17,16000,..\data\processed_audio\audio_11.wav
audio_110,..\data\raw_audio\audio_110.wav,Please switch on your camera during viva.,Please switch on your camera during viva.,2.74,16000,..\data\processed_audio\audio_110.wav
audio_111,..\data\raw_audio\audio_111.wav,Maile chai course complete gare half.,मैलेचै  course complete गरे half.,2.54,16000,..\data\processed_audio\audio_111.wav
audio_112,..\data\raw_audio\audio_112.wav,Tyo task allocate garna parxa sabai ma.,त्यो task allocate गर्नुपर्छ सबैमा।,2.48,16000,..\data\processed_audio\audio_112.wav
audio_113,..\data\raw_audio\audio_113.wav,Mero phone ma tyo app install xa.,मेरो phone मा त्यो app install छ।,2.43,16000,..\data\processed_audio\audio_113.wav
audio_114,..\data\raw_audio\audio_114.wav,Let's do group study tomorrow.,Let's do group study tomorrow.,2.02,16000,..\data\processed_audio\audio_114.wav
audio_115,..\data\raw_audio\audio_115.wav,Maile chai tyo diagram draw gare class ma.,मैलेचै  त्यो diagram draw गरे class मा।,2.69,16000,..\data\processed_audio\audio_115.wav
audio_116,..\data\raw_audio\audio_116.wav,Please submit the form before deadline.,Please submit the form before deadline.,2.14,16000,..\data\processed_audio\audio_116.wav
audio_117,..\data\raw_audio\audio_117.wav,Mero bike service garna parxa.,मेरो bike service गर्नुपर्छ।,2.22,16000,..\data\processed_audio\audio_117.wav
