filename,transcript
pk_001.wav,Mero assignment submit garna time lagxa.
pk_002.wav,Sir le bhaneko concept clear vayena.
pk_003.wav,Timi chai kati baje ghar jane plan cha?
pk_004.wav,Please send me the pdf after class.
pk_005.wav,Mero phone ko battery almost dead xa.
pk_006.wav,Let's go to canteen after this lecture.
pk_007.wav,Maile yo topic bujhna try gare but alik garo lagyo.
pk_008.wav,"Herana, yo diagram ramro sanga draw garnu parxa."
pk_009.wav,Tyo presentation ma photo clarity thikai xa ni.
pk_010.wav,Ma aba ghar jane sochdai chu.
pk_011.wav,Tyo movie ko trailer dherai ramro xa.
pk_012.wav,Assignment ko deadline extend hunxa ki nai?
pk_013.wav,Kal college ma class cancelled xa re.
pk_014.wav,Sir le extra class rakhnu bhayo bholi.
pk_015.wav,Tyo code ma error dekhauna sakchau?
pk_016.wav,Mero laptop ma python install xa already.
pk_017.wav,Let's finish this project by tonight.
pk_018.wav,Maile tyo reel edit gareko xu.
pk_019.wav,Yo song sunera mood fresh hunxa.
pk_020.wav,Lunch ma momo khane ho?
pk_021.wav,Yo code run garna thap module install garnu parxa.
pk_022.wav,"Kal test cha, padhera aauna."
pk_023.wav,Mero name list ma xa ki nai?
pk_024.wav,Tyo file google drive ma upload gardinu.
pk_025.wav,Please call me after your class.
pk_026.wav,Kati ramro weather xa aja.
pk_027.wav,Mero net slow vairaixa aaja.
pk_028.wav,Tyo teacher ko teaching style dherai ramro xa.
pk_029.wav,Let's meet at library after break.
pk_030.wav,Mero assignment almost complete xa.
pk_031.wav,Kal group meeting kati baje?
pk_032.wav,Tyo video edit garna time lagxa.
pk_033.wav,Maile arko section ma class linu parxa.
pk_034.wav,Please send me the link for registration.
pk_035.wav,Sir le bhaneko notes upload gardinu.
pk_036.wav,Maile tyo message padhna birse.
pk_037.wav,Timro pen use garna milxa?
pk_038.wav,Ma ghar pugna laai taxi liyera gaye.
pk_039.wav,Tyo app use garna easy xa.
pk_040.wav,Let's go for tea break.
pk_041.wav,Maile tyo error fix gare.
pk_042.wav,Tyo project ko idea ramro cha.
pk_043.wav,Please mute your mic during class.
pk_044.wav,Mero code ma syntax error xa re.
pk_045.wav,Kal holiday xa re college ma.
pk_046.wav,Tyo website ko UI design attractive cha.
pk_047.wav,Maile tyo pdf drive ma rakheko xu.
pk_048.wav,Please check your email.
pk_049.wav,Ma arko week bata start garxu.
pk_050.wav,Tyo function call garera check gara.
